title,length_minutes,year_released,rating_imdb,genre1,genre2,genre3,language,url
brother,99,1997,7.8,crime,drama,,russian,https://www.imdb.com/title/tt0118767/?ref_=nv_sr_srsg_7
there will be blood,158,2007,8.2,drama,,,english,https://www.imdb.com/title/tt0469494/
mad as hell,82,2014,6.3,biography,documentary,,english,https://www.imdb.com/title/tt1826550/?ref_=nv_sr_srsg_2
dunkirk,107,2017,7.8,war,history,,english,https://www.imdb.com/title/tt5013056/?ref_=nv_sr_srsg_0
national bird,92,2006,7,documentary,,,english,https://www.imdb.com/title/tt5525310/?ref_=nv_sr_srsg_0
office space,89,1999,7.7,comedy,,,english,https://www.imdb.com/title/tt0151804/
antigone,109,2019,7,drama,,,english,https://www.imdb.com/title/tt10260042/?ref_=nv_sr_srsg_0
mr. smith goes to washington,129,1939,8.1,comedy,drama,,english,https://www.imdb.com/title/tt0031679/?ref_=adv_li_tt
bumbarash,135,1972,7.1,adventure,comedy,musical,russian,https://www.imdb.com/title/tt0131331/?ref_=ttls_li_tt
they live,94,1988,7.2,action,horror,sci-fi,english,https://www.imdb.com/title/tt0096256/
the shining,146,1980,8.4,drama,horror,,english,https://www.imdb.com/title/tt0081505/?ref_=nv_sr_srsg_0
nightcrawler,117,2014,7.8,crime,drama,thriller,english,https://www.imdb.com/title/tt2872718/?ref_=nv_sr_srsg_0
detroit,143,2017,7.3,crime,drama,history,english,https://www.imdb.com/title/tt5390504/?ref_=nv_sr_srsg_0
gone with the wind,238,1939,8.2,drama,romance,war,english,https://www.imdb.com/title/tt0031381/?ref_=nv_sr_srsg_0
bonnie and clyde,111,1967,7.7,action,biography,crime,english,https://www.imdb.com/title/tt0061418/?ref_=nv_sr_srsg_3
schindler's list,195,1993,9,biiography,drama,history,english,https://www.imdb.com/title/tt0108052/?ref_=nv_sr_srsg_0
12 angry men,96,1957,9,crime,drama,,english,https://www.imdb.com/title/tt0050083/?ref_=nv_sr_srsg_0
no country for old men,122,2007,8.2,crime,drama,thriller,english,https://www.imdb.com/title/tt0477348/?ref_=nv_sr_srsg_0
